playerID,awardID,yearID,lgID,tie,notes
greenha01,MVP,1940,AL,,
mccorfr01,MVP,1940,NL,,
fellebo01,Triple Crown,1940,AL,,
willite01,Major League Player of the Year,1941,ML,,
camildo01,MVP,1941,NL,,
dimagjo01,MVP,1941,AL,,
willite01,Major League Player of the Year,1942,ML,,
coopemo01,MVP,1942,NL,,
gordojo01,MVP,1942,AL,,
willite01,Triple Crown,1942,AL,,
chandsp01,Major League Player of the Year,1943,ML,,
chandsp01,MVP,1943,AL,,
musiast01,MVP,1943,NL,,
marioma01,Major League Player of the Year,1944,ML,,
marioma01,MVP,1944,NL,,
newhoha01,MVP,1944,AL,,
newhoha01,TSN Pitcher of the Year,1944,AL,,
voisebi01,TSN Pitcher of the Year,1944,NL,,
newhoha01,Major League Player of the Year,1945,ML,,
cavarph01,MVP,1945,NL,,
newhoha01,MVP,1945,AL,,
newhoha01,Triple Crown,1945,AL,,
borowha01,TSN Pitcher of the Year,1945,NL,,
newhoha01,TSN Pitcher of the Year,1945,AL,,
musiast01,Major League Player of the Year,1946,ML,,
musiast01,MVP,1946,NL,,
willite01,MVP,1946,AL,,
willite01,Major League Player of the Year,1947,ML,,
dimagjo01,MVP,1947,AL,,
elliobo01,MVP,1947,NL,,
robinja02,Rookie of the Year,1947,ML,,
willite01,Triple Crown,1947,AL,,
boudrlo01,Major League Player of the Year,1948,ML,,
boudrlo01,MVP,1948,AL,,
musiast01,MVP,1948,NL,,
darkal01,Rookie of the Year,1948,ML,,
lemonbo01,TSN Pitcher of the Year,1948,AL,,
sainjo01,TSN Pitcher of the Year,1948,NL,,
pagejo01,Babe Ruth Award,1949,AL,,P
willite01,Major League Player of the Year,1949,ML,,
robinja02,MVP,1949,NL,,
willite01,MVP,1949,AL,,
newcodo01,Rookie of the Year,1949,NL,,
sievero01,Rookie of the Year,1949,AL,,
kindeel01,TSN Pitcher of the Year,1949,AL,,
polleho01,TSN Pitcher of the Year,1949,NL,,
colemje01,Babe Ruth Award,1950,AL,,2B
rizzuph01,Major League Player of the Year,1950,ML,,
konstji01,MVP,1950,NL,,
rizzuph01,MVP,1950,AL,,
dropowa01,Rookie of the Year,1950,AL,,
jethrsa01,Rookie of the Year,1950,NL,,
konstji01,TSN Pitcher of the Year,1950,NL,,
lemonbo01,TSN Pitcher of the Year,1950,AL,,
rizzuph01,Babe Ruth Award,1951,AL,,SS
musiast01,Major League Player of the Year,1951,ML,,
berrayo01,MVP,1951,AL,,
camparo01,MVP,1951,NL,,
mayswi01,Rookie of the Year,1951,NL,,
mcdougi01,Rookie of the Year,1951,AL,,
fellebo01,TSN Pitcher of the Year,1951,AL,,
roepr01,TSN Pitcher of the Year,1951,NL,,
mizejo01,Babe Ruth Award,1952,AL,,1B
roberro01,Major League Player of the Year,1952,ML,,
sauerha01,MVP,1952,NL,,
shantbo01,MVP,1952,AL,,
blackjo02,Rookie of the Year,1952,NL,,
byrdha01,Rookie of the Year,1952,AL,,
roberro01,TSN Pitcher of the Year,1952,NL,,
shantbo01,TSN Pitcher of the Year,1952,AL,,
martibi02,Babe Ruth Award,1953,AL,,2B
rosenal01,Major League Player of the Year,1953,ML,,
camparo01,MVP,1953,NL,,
rosenal01,MVP,1953,AL,,
gilliji01,Rookie of the Year,1953,NL,,
kuennha01,Rookie of the Year,1953,AL,,
portebo01,TSN Pitcher of the Year,1953,AL,,
spahnwa01,TSN Pitcher of the Year,1953,NL,,
rhodedu01,Babe Ruth Award,1954,NL,,OF
mayswi01,Major League Player of the Year,1954,ML,,
berrayo01,MVP,1954,AL,,
mayswi01,MVP,1954,NL,,
grimbo01,Rookie of the Year,1954,AL,,
moonwa01,Rookie of the Year,1954,NL,,
antonjo02,TSN Pitcher of the Year,1954,NL,,
lemonbo01,TSN Pitcher of the Year,1954,AL,,
podrejo01,Babe Ruth Award,1955,NL,,P
darkal01,Lou Gehrig Memorial Award,1955,ML,,
snidedu01,Major League Player of the Year,1955,ML,,
berrayo01,MVP,1955,AL,,
camparo01,MVP,1955,NL,,
scorehe01,Rookie of the Year,1955,AL,,
virdobi01,Rookie of the Year,1955,NL,,
fordwh01,TSN Pitcher of the Year,1955,AL,,
roberro01,TSN Pitcher of the Year,1955,NL,,
podrejo01,WS MVP,1955,ML,,
larsedo01,Babe Ruth Award,1956,AL,,P
newcodo01,Cy Young,1956,ML,,
reesepe01,Lou Gehrig Memorial Award,1956,ML,,
mantlmi01,Major League Player of the Year,1956,ML,,
mantlmi01,MVP,1956,AL,,
newcodo01,MVP,1956,NL,,
aparilu01,Rookie of the Year,1956,AL,,
robinfr02,Rookie of the Year,1956,NL,,
mantlmi01,Triple Crown,1956,AL,,
newcodo01,TSN Pitcher of the Year,1956,NL,,
piercbi02,TSN Pitcher of the Year,1956,AL,,
larsedo01,WS MVP,1956,ML,,
burdele01,Babe Ruth Award,1957,NL,,P
spahnwa01,Cy Young,1957,ML,,
foxne01,Gold Glove,1957,ML,,2B
hodgegi01,Gold Glove,1957,ML,,1B
kalinal01,Gold Glove,1957,ML,,RF
lollash01,Gold Glove,1957,ML,,C
malzofr01,Gold Glove,1957,ML,,3B
mayswi01,Gold Glove,1957,ML,,CF
mcmilro01,Gold Glove,1957,ML,,SS
minosmi01,Gold Glove,1957,ML,,LF
shantbo01,Gold Glove,1957,ML,,P
musiast01,Lou Gehrig Memorial Award,1957,ML,,
willite01,Major League Player of the Year,1957,ML,,
aaronha01,MVP,1957,NL,,
mantlmi01,MVP,1957,AL,,
kubekto01,Rookie of the Year,1957,AL,,
sanfoja02,Rookie of the Year,1957,NL,,
piercbi02,TSN Pitcher of the Year,1957,AL,,
spahnwa01,TSN Pitcher of the Year,1957,NL,,
burdele01,WS MVP,1957,ML,,
howarel01,Babe Ruth Award,1958,AL,,C
turlebo01,Cy Young,1958,ML,,
aaronha01,Gold Glove,1958,NL,,RF
aparilu01,Gold Glove,1958,AL,,SS
bollifr01,Gold Glove,1958,AL,,2B
boyerke01,Gold Glove,1958,NL,,3B
crandde01,Gold Glove,1958,NL,,C
haddiha01,Gold Glove,1958,NL,,P
hodgegi01,Gold Glove,1958,NL,,1B
kalinal01,Gold Glove,1958,AL,,RF
lollash01,Gold Glove,1958,AL,,C
malzofr01,Gold Glove,1958,AL,,3B
mayswi01,Gold Glove,1958,NL,,CF
mazerbi01,Gold Glove,1958,NL,,2B
mcmilro01,Gold Glove,1958,NL,,SS
piersji01,Gold Glove,1958,AL,,CF
powervi01,Gold Glove,1958,AL,,1B
robinfr02,Gold Glove,1958,NL,,LF
shantbo01,Gold Glove,1958,AL,,P
siebeno01,Gold Glove,1958,AL,,LF
mcdougi01,Lou Gehrig Memorial Award,1958,ML,,
turlebo01,Major League Player of the Year,1958,ML,,
bankser01,MVP,1958,NL,,
jenseja01,MVP,1958,AL,,
cepedor01,Rookie of the Year,1958,NL,,
pearsal02,Rookie of the Year,1958,AL,,
spahnwa01,TSN Pitcher of the Year,1958,NL,,
turlebo01,TSN Pitcher of the Year,1958,AL,,
turlebo01,WS MVP,1958,ML,,
sherrla01,Babe Ruth Award,1959,NL,,P
wynnea01,Cy Young,1959,ML,,
aaronha01,Gold Glove,1959,NL,,RF
aparilu01,Gold Glove,1959,AL,,SS
boyerke01,Gold Glove,1959,NL,,3B
brandja01,Gold Glove,1959,NL,,LF
crandde01,Gold Glove,1959,NL,,C
foxne01,Gold Glove,1959,AL,,2B
haddiha01,Gold Glove,1959,NL,,P
hodgegi01,Gold Glove,1959,NL,,1B
jenseja01,Gold Glove,1959,AL,,RF
kalinal01,Gold Glove,1959,AL,,CF
lollash01,Gold Glove,1959,AL,,C
malzofr01,Gold Glove,1959,AL,,3B
mayswi01,Gold Glove,1959,NL,,CF
mcmilro01,Gold Glove,1959,NL,,SS
minosmi01,Gold Glove,1959,AL,,LF
nealch01,Gold Glove,1959,NL,,2B
powervi01,Gold Glove,1959,AL,,1B
shantbo01,Gold Glove,1959,AL,,P
hodgegi01,Lou Gehrig Memorial Award,1959,ML,,
wynnea01,Major League Player of the Year,1959,ML,,
bankser01,MVP,1959,NL,,
foxne01,MVP,1959,AL,,
allisbo01,Rookie of the Year,1959,AL,,
mccovwi01,Rookie of the Year,1959,NL,,
jonessa02,TSN Pitcher of the Year,1959,NL,,
wynnea01,TSN Pitcher of the Year,1959,AL,,
sherrla01,WS MVP,1959,ML,,
mazerbi01,Babe Ruth Award,1960,NL,,2B
lawve01,Cy Young,1960,ML,,
aaronha01,Gold Glove,1960,NL,,RF
aparilu01,Gold Glove,1960,AL,,SS
bankser01,Gold Glove,1960,NL,,SS
batteea01,Gold Glove,1960,AL,,C
boyerke01,Gold Glove,1960,NL,,3B
crandde01,Gold Glove,1960,NL,,C
foxne01,Gold Glove,1960,AL,,2B
haddiha01,Gold Glove,1960,NL,,P
landiji01,Gold Glove,1960,AL,,CF
marisro01,Gold Glove,1960,AL,,RF
mayswi01,Gold Glove,1960,NL,,CF
mazerbi01,Gold Glove,1960,NL,,2B
minosmi01,Gold Glove,1960,AL,,LF
moonwa01,Gold Glove,1960,NL,,LF
powervi01,Gold Glove,1960,AL,,1B
robinbr01,Gold Glove,1960,AL,,3B
shantbo01,Gold Glove,1960,AL,,P
whitebi03,Gold Glove,1960,NL,,1B
groatdi01,Lou Gehrig Memorial Award,1960,ML,,
mazerbi01,Major League Player of the Year,1960,ML,,
groatdi01,MVP,1960,NL,,
marisro01,MVP,1960,AL,,
hansero02,Rookie of the Year,1960,AL,,
howarfr01,Rookie of the Year,1960,NL,,
estrach01,TSN Pitcher of the Year,1960,AL,,
lawve01,TSN Pitcher of the Year,1960,NL,,
richabo01,WS MVP,1960,ML,,
fordwh01,Babe Ruth Award,1961,AL,,P
fordwh01,Cy Young,1961,ML,,
aparilu01,Gold Glove,1961,AL,,SS
batteea01,Gold Glove,1961,AL,,C
boyerke01,Gold Glove,1961,NL,,3B
clemero01,Gold Glove,1961,NL,,OF
kalinal01,Gold Glove,1961,AL,,OF
landiji01,Gold Glove,1961,AL,,OF
laryfr01,Gold Glove,1961,AL,,P
mayswi01,Gold Glove,1961,NL,,OF
mazerbi01,Gold Glove,1961,NL,,2B
piersji01,Gold Glove,1961,AL,,OF
pinsova01,Gold Glove,1961,NL,,OF
powervi01,Gold Glove,1961,AL,,1B
richabo01,Gold Glove,1961,AL,,2B
robinbr01,Gold Glove,1961,AL,,3B
rosebjo01,Gold Glove,1961,NL,,C
shantbo01,Gold Glove,1961,NL,,P
whitebi03,Gold Glove,1961,NL,,1B
willsma01,Gold Glove,1961,NL,,SS
spahnwa01,Lou Gehrig Memorial Award,1961,ML,,
marisro01,Major League Player of the Year,1961,ML,,
marisro01,MVP,1961,AL,,
robinfr02,MVP,1961,NL,,
schwado01,Rookie of the Year,1961,AL,,
willibi01,Rookie of the Year,1961,NL,,
fordwh01,TSN Pitcher of the Year,1961,AL,,
spahnwa01,TSN Pitcher of the Year,1961,NL,,
fordwh01,WS MVP,1961,ML,,
wagnele01,AS MVP,1962,ML,,1st Game
willsma01,AS MVP,1962,ML,,2nd Game
terryra01,Babe Ruth Award,1962,AL,,P
drysddo01,Cy Young,1962,ML,,
aparilu01,Gold Glove,1962,AL,,SS
batteea01,Gold Glove,1962,AL,,C
clemero01,Gold Glove,1962,NL,,OF
crandde01,Gold Glove,1962,NL,,C
davenji01,Gold Glove,1962,NL,,3B
hubbske01,Gold Glove,1962,NL,,2B
kaatji01,Gold Glove,1962,AL,,P
kalinal01,Gold Glove,1962,AL,,OF
landiji01,Gold Glove,1962,AL,,OF
mantlmi01,Gold Glove,1962,AL,,OF
mayswi01,Gold Glove,1962,NL,,OF
powervi01,Gold Glove,1962,AL,,1B
richabo01,Gold Glove,1962,AL,,2B
robinbr01,Gold Glove,1962,AL,,3B
shantbo01,Gold Glove,1962,NL,,P
virdobi01,Gold Glove,1962,NL,,OF
whitebi03,Gold Glove,1962,NL,,1B
willsma01,Gold Glove,1962,NL,,SS
roberro01,Lou Gehrig Memorial Award,1962,ML,,
drysddo01,Major League Player of the Year,1962,ML,,
willsma01,Major League Player of the Year,1962,ML,,
mantlmi01,MVP,1962,AL,,
willsma01,MVP,1962,NL,,
hubbske01,Rookie of the Year,1962,NL,,
treshto01,Rookie of the Year,1962,AL,,
donovdi01,TSN Pitcher of the Year,1962,AL,,
drysddo01,TSN Pitcher of the Year,1962,NL,,
terryra01,WS MVP,1962,ML,,
mayswi01,AS MVP,1963,ML,,
koufasa01,Babe Ruth Award,1963,NL,,P
koufasa01,Cy Young,1963,ML,,
boyerke01,Gold Glove,1963,NL,,3B
clemero01,Gold Glove,1963,NL,,OF
edwarjo01,Gold Glove,1963,NL,,C
floodcu01,Gold Glove,1963,NL,,OF
howarel01,Gold Glove,1963,AL,,C
kaatji01,Gold Glove,1963,AL,,P
kalinal01,Gold Glove,1963,AL,,OF
landiji01,Gold Glove,1963,AL,,OF
mayswi01,Gold Glove,1963,NL,,OF
mazerbi01,Gold Glove,1963,NL,,2B
powervi01,Gold Glove,1963,AL,,1B
richabo01,Gold Glove,1963,AL,,2B
robinbr01,Gold Glove,1963,AL,,3B
shantbo01,Gold Glove,1963,NL,,P
versazo01,Gold Glove,1963,AL,,SS
whitebi03,Gold Glove,1963,NL,,1B
winebo01,Gold Glove,1963,NL,,SS
yastrca01,Gold Glove,1963,AL,,OF
richabo01,Lou Gehrig Memorial Award,1963,ML,,
koufasa01,Major League Player of the Year,1963,ML,,
howarel01,MVP,1963,AL,,
koufasa01,MVP,1963,NL,,
peterga01,Rookie of the Year,1963,AL,,
rosepe01,Rookie of the Year,1963,NL,,
koufasa01,Triple Crown,1963,NL,,
fordwh01,TSN Pitcher of the Year,1963,AL,,
koufasa01,TSN Pitcher of the Year,1963,NL,,
koufasa01,WS MVP,1963,ML,,
callijo01,AS MVP,1964,ML,,
gibsobo01,Babe Ruth Award,1964,NL,,P
chancde01,Cy Young,1964,ML,,
amaroru01,Gold Glove,1964,NL,,SS
aparilu01,Gold Glove,1964,AL,,SS
clemero01,Gold Glove,1964,NL,,OF
davalvi01,Gold Glove,1964,AL,,OF
edwarjo01,Gold Glove,1964,NL,,C
floodcu01,Gold Glove,1964,NL,,OF
howarel01,Gold Glove,1964,AL,,C
kaatji01,Gold Glove,1964,AL,,P
kalinal01,Gold Glove,1964,AL,,OF
landiji01,Gold Glove,1964,AL,,OF
mayswi01,Gold Glove,1964,NL,,OF
mazerbi01,Gold Glove,1964,NL,,2B
powervi01,Gold Glove,1964,AL,,1B
richabo01,Gold Glove,1964,AL,,2B
robinbr01,Gold Glove,1964,AL,,3B
santoro01,Gold Glove,1964,NL,,3B
shantbo01,Gold Glove,1964,NL,,P
whitebi03,Gold Glove,1964,NL,,1B
boyerke01,Lou Gehrig Memorial Award,1964,ML,,
boyerke01,Major League Player of the Year,1964,ML,,
boyerke01,MVP,1964,NL,,
robinbr01,MVP,1964,AL,,
allendi01,Rookie of the Year,1964,NL,,
olivato01,Rookie of the Year,1964,AL,,
chancde01,TSN Pitcher of the Year,1964,AL,,
koufasa01,TSN Pitcher of the Year,1964,NL,,
gibsobo01,WS MVP,1964,ML,,
maricju01,AS MVP,1965,ML,,
koufasa01,Babe Ruth Award,1965,NL,,P
koufasa01,Cy Young,1965,ML,,
cardele01,Gold Glove,1965,NL,,SS
clemero01,Gold Glove,1965,NL,,OF
floodcu01,Gold Glove,1965,NL,,OF
freehbi01,Gold Glove,1965,AL,,C
gibsobo01,Gold Glove,1965,NL,,P
kaatji01,Gold Glove,1965,AL,,P
kalinal01,Gold Glove,1965,AL,,OF
mayswi01,Gold Glove,1965,NL,,OF
mazerbi01,Gold Glove,1965,NL,,2B
pepitjo01,Gold Glove,1965,AL,,1B
richabo01,Gold Glove,1965,AL,,2B
robinbr01,Gold Glove,1965,AL,,3B
santoro01,Gold Glove,1965,NL,,3B
torrejo01,Gold Glove,1965,NL,,C
treshto01,Gold Glove,1965,AL,,OF
versazo01,Gold Glove,1965,AL,,SS
whitebi03,Gold Glove,1965,NL,,1B
yastrca01,Gold Glove,1965,AL,,OF
mantlmi01,Hutch Award,1965,ML,,
lawve01,Lou Gehrig Memorial Award,1965,ML,,
koufasa01,Major League Player of the Year,1965,ML,,
mayswi01,MVP,1965,NL,,
versazo01,MVP,1965,AL,,
blefacu01,Rookie of the Year,1965,AL,,
lefebji01,Rookie of the Year,1965,NL,,
koufasa01,Triple Crown,1965,NL,,
grantmu01,TSN Pitcher of the Year,1965,AL,,
koufasa01,TSN Pitcher of the Year,1965,NL,,
koufasa01,WS MVP,1965,ML,,
robinbr01,AS MVP,1966,ML,,
robinfr02,Babe Ruth Award,1966,AL,,OF
koufasa01,Cy Young,1966,ML,,
ageeto01,Gold Glove,1966,AL,,OF
alleyge01,Gold Glove,1966,NL,,SS
aparilu01,Gold Glove,1966,AL,,SS
clemero01,Gold Glove,1966,NL,,OF
floodcu01,Gold Glove,1966,NL,,OF
freehbi01,Gold Glove,1966,AL,,C
gibsobo01,Gold Glove,1966,NL,,P
kaatji01,Gold Glove,1966,AL,,P
kalinal01,Gold Glove,1966,AL,,OF
knoopbo01,Gold Glove,1966,AL,,2B
mayswi01,Gold Glove,1966,NL,,OF
mazerbi01,Gold Glove,1966,NL,,2B
olivato01,Gold Glove,1966,AL,,OF
pepitjo01,Gold Glove,1966,AL,,1B
robinbr01,Gold Glove,1966,AL,,3B
rosebjo01,Gold Glove,1966,NL,,C
santoro01,Gold Glove,1966,NL,,3B
whitebi03,Gold Glove,1966,NL,,1B
koufasa01,Hutch Award,1966,ML,,
robinbr01,Lou Gehrig Memorial Award,1966,ML,,
robinfr02,Major League Player of the Year,1966,ML,,
clemero01,MVP,1966,NL,,
robinfr02,MVP,1966,AL,,
ageeto01,Rookie of the Year,1966,AL,,
helmsto01,Rookie of the Year,1966,NL,,
koufasa01,Triple Crown,1966,NL,,
robinfr02,Triple Crown,1966,AL,,
kaatji01,TSN Pitcher of the Year,1966,AL,,
koufasa01,TSN Pitcher of the Year,1966,NL,,
robinfr02,WS MVP,1966,ML,,
perezto01,AS MVP,1967,ML,,
brocklo01,Babe Ruth Award,1967,NL,,OF
lonboji01,Cy Young,1967,AL,,
mccormi03,Cy Young,1967,NL,,
alleyge01,Gold Glove,1967,NL,,SS
blairpa01,Gold Glove,1967,AL,,OF
clemero01,Gold Glove,1967,NL,,OF
floodcu01,Gold Glove,1967,NL,,OF
freehbi01,Gold Glove,1967,AL,,C
fregoji01,Gold Glove,1967,AL,,SS
gibsobo01,Gold Glove,1967,NL,,P
hundlra01,Gold Glove,1967,NL,,C
kaatji01,Gold Glove,1967,AL,,P
kalinal01,Gold Glove,1967,AL,,OF
knoopbo01,Gold Glove,1967,AL,,2B
mayswi01,Gold Glove,1967,NL,,OF
mazerbi01,Gold Glove,1967,NL,,2B
parkewe01,Gold Glove,1967,NL,,1B
robinbr01,Gold Glove,1967,AL,,3B
santoro01,Gold Glove,1967,NL,,3B
scottge02,Gold Glove,1967,AL,,1B
yastrca01,Gold Glove,1967,AL,,OF
yastrca01,Hutch Award,1967,ML,,
bankser01,Lou Gehrig Memorial Award,1967,ML,,
yastrca01,Major League Player of the Year,1967,ML,,
cepedor01,MVP,1967,NL,,
yastrca01,MVP,1967,AL,,
carewro01,Rookie of the Year,1967,AL,,
seaveto01,Rookie of the Year,1967,NL,,
yastrca01,Triple Crown,1967,AL,,
lonboji01,TSN Pitcher of the Year,1967,AL,,
mccormi03,TSN Pitcher of the Year,1967,NL,,
gibsobo01,WS MVP,1967,ML,,
mayswi01,AS MVP,1968,ML,,
lolicmi01,Babe Ruth Award,1968,AL,,P
gibsobo01,Cy Young,1968,NL,,
mclaide01,Cy Young,1968,AL,,
aparilu01,Gold Glove,1968,AL,,SS
beckegl01,Gold Glove,1968,NL,,2B
benchjo01,Gold Glove,1968,NL,,C
clemero01,Gold Glove,1968,NL,,OF
floodcu01,Gold Glove,1968,NL,,OF
freehbi01,Gold Glove,1968,AL,,C
gibsobo01,Gold Glove,1968,NL,,P
kaatji01,Gold Glove,1968,AL,,P
knoopbo01,Gold Glove,1968,AL,,2B
maxvida01,Gold Glove,1968,NL,,SS
mayswi01,Gold Glove,1968,NL,,OF
parkewe01,Gold Glove,1968,NL,,1B
robinbr01,Gold Glove,1968,AL,,3B
santoro01,Gold Glove,1968,NL,,3B
scottge02,Gold Glove,1968,AL,,1B
smithre06,Gold Glove,1968,AL,,OF
stanlmi01,Gold Glove,1968,AL,,OF
yastrca01,Gold Glove,1968,AL,,OF
rosepe01,Hutch Award,1968,ML,,
kalinal01,Lou Gehrig Memorial Award,1968,ML,,
mclaide01,Major League Player of the Year,1968,ML,,
gibsobo01,MVP,1968,NL,,
mclaide01,MVP,1968,AL,,
bahnsst01,Rookie of the Year,1968,AL,,
benchjo01,Rookie of the Year,1968,NL,,
gibsobo01,TSN Pitcher of the Year,1968,NL,,
mclaide01,TSN Pitcher of the Year,1968,AL,,
lolicmi01,WS MVP,1968,ML,,
mccovwi01,AS MVP,1969,ML,,
weisal01,Babe Ruth Award,1969,NL,,SS
cuellmi01,Cy Young,1969,AL,Y,
mclaide01,Cy Young,1969,AL,Y,
seaveto01,Cy Young,1969,NL,,
belanma01,Gold Glove,1969,AL,,SS
benchjo01,Gold Glove,1969,NL,,C
blairpa01,Gold Glove,1969,AL,,OF
boyercl02,Gold Glove,1969,NL,,3B
clemero01,Gold Glove,1969,NL,,OF
floodcu01,Gold Glove,1969,NL,,OF
freehbi01,Gold Glove,1969,AL,,C
gibsobo01,Gold Glove,1969,NL,,P
johnsda02,Gold Glove,1969,AL,,2B
kaatji01,Gold Glove,1969,AL,,P
kessido01,Gold Glove,1969,NL,,SS
millafe01,Gold Glove,1969,NL,,2B
parkewe01,Gold Glove,1969,NL,,1B
pepitjo01,Gold Glove,1969,AL,,1B
robinbr01,Gold Glove,1969,AL,,3B
rosepe01,Gold Glove,1969,NL,,OF
stanlmi01,Gold Glove,1969,AL,,OF
yastrca01,Gold Glove,1969,AL,,OF
kalinal01,Hutch Award,1969,ML,,
rosepe01,Lou Gehrig Memorial Award,1969,ML,,
mccovwi01,Major League Player of the Year,1969,ML,,
killeha01,MVP,1969,AL,,
mccovwi01,MVP,1969,NL,,
pinielo01,Rookie of the Year,1969,AL,,
sizemte01,Rookie of the Year,1969,NL,,
mclaide01,TSN Pitcher of the Year,1969,AL,,
seaveto01,TSN Pitcher of the Year,1969,NL,,
clenddo01,WS MVP,1969,ML,,
yastrca01,AS MVP,1970,ML,,
robinbr01,Babe Ruth Award,1970,AL,,3B
gibsobo01,Cy Young,1970,NL,,
perryji01,Cy Young,1970,AL,,
ageeto01,Gold Glove,1970,NL,,OF
aparilu01,Gold Glove,1970,AL,,SS
benchjo01,Gold Glove,1970,NL,,C
berryke01,Gold Glove,1970,AL,,OF
blairpa01,Gold Glove,1970,AL,,OF
clemero01,Gold Glove,1970,NL,,OF
fossera01,Gold Glove,1970,AL,,C
gibsobo01,Gold Glove,1970,NL,,P
helmsto01,Gold Glove,1970,NL,,2B
johnsda02,Gold Glove,1970,AL,,2B
kaatji01,Gold Glove,1970,AL,,P
kessido01,Gold Glove,1970,NL,,SS
parkewe01,Gold Glove,1970,NL,,1B
raderdo02,Gold Glove,1970,NL,,3B
robinbr01,Gold Glove,1970,AL,,3B
rosepe01,Gold Glove,1970,NL,,OF
spencji01,Gold Glove,1970,AL,,1B
stanlmi01,Gold Glove,1970,AL,,OF
conigto01,Hutch Award,1970,ML,,
aaronha01,Lou Gehrig Memorial Award,1970,ML,,
benchjo01,Major League Player of the Year,1970,ML,,
benchjo01,MVP,1970,NL,,
powelbo01,MVP,1970,AL,,
mortoca01,Rookie of the Year,1970,NL,,
munsoth01,Rookie of the Year,1970,AL,,
gibsobo01,TSN Pitcher of the Year,1970,NL,,
mcdowsa01,TSN Pitcher of the Year,1970,AL,,
robinbr01,WS MVP,1970,ML,,
robinfr02,AS MVP,1971,ML,,
clemero01,Babe Ruth Award,1971,NL,,OF
bluevi01,Cy Young,1971,AL,,
jenkife01,Cy Young,1971,NL,,
belanma01,Gold Glove,1971,AL,,SS
benchjo01,Gold Glove,1971,NL,,C
blairpa01,Gold Glove,1971,AL,,OF
bondsbo01,Gold Glove,1971,NL,,OF
clemero01,Gold Glove,1971,NL,,OF
daviswi02,Gold Glove,1971,NL,,OF
fossera01,Gold Glove,1971,AL,,C
gibsobo01,Gold Glove,1971,NL,,P
harrebu01,Gold Glove,1971,NL,,SS
helmsto01,Gold Glove,1971,NL,,2B
johnsda02,Gold Glove,1971,AL,,2B
kaatji01,Gold Glove,1971,AL,,P
otisam01,Gold Glove,1971,AL,,OF
parkewe01,Gold Glove,1971,NL,,1B
